ts_code,name,industry,level,close,pct_chg,vol_ratio,turnover_rate,mv_亿,pe_ttm,xueqiu_url,update_date
920006.BJ,晟楠科技,航空,⚡ 创60日新高,22.21,29.959,8.96,26.07,10.62,-,https://xueqiu.com/S/BJ920006,2026-09-02
920212.BJ,智新电子,元器件,🔥 创半年(120日)新高,14.1,29.9539,8.9,19.5,7.28,122.7,https://xueqiu.com/S/BJ920212,2026-09-02
920748.BJ,路桥信息,软件服务,⚡ 创60日新高,32.71,21.6437,2.75,11.23,20.62,-,https://xueqiu.com/S/BJ920748,2026-09-02
300950.SZ,德固特,专用机械,⚡ 创60日新高,19.28,10.2975,5.38,10.35,18.82,54.8,https://xueqiu.com/S/SZ300950,2026-09-02
600657.SH,信达地产,全国地产,⚡ 创60日新高,3.05,10.1083,2.92,4.36,86.98,-,https://xueqiu.com/S/SH600657,2026-09-02
600892.SH,大晟文化,互联网,🏆 创一年(250日)新高,5.35,10.0823,0.34,2.01,29.92,-,https://xueqiu.com/S/SH600892,2026-09-02
600828.SH,茂业商业,百货,⚡ 创60日新高,4.81,10.0686,3.2,2.66,83.28,-,https://xueqiu.com/S/SH600828,2026-09-02
002059.SZ,云南旅游,旅游景点,⚡ 创60日新高,5.25,10.0629,6.34,7.17,52.0,-,https://xueqiu.com/S/SZ002059,2026-09-02
002999.SZ,天禾股份,批发业,⚡ 创60日新高,7.33,10.0601,3.65,15.44,25.27,37.8,https://xueqiu.com/S/SZ002999,2026-09-02
002893.SZ,京能热力,供气供热,⚡ 创60日新高,11.17,10.0493,7.33,22.09,22.65,45.0,https://xueqiu.com/S/SZ002893,2026-09-02
002274.SZ,华昌化工,农药化肥,⚡ 创60日新高,7.12,10.0464,1.97,9.9,66.77,-,https://xueqiu.com/S/SZ002274,2026-09-02
001278.SZ,一彬科技,汽车配件,⚡ 创60日新高,18.22,10.0242,1.88,4.14,15.55,-,https://xueqiu.com/S/SZ001278,2026-09-02
605577.SH,龙版传媒,出版业,⚡ 创60日新高,12.85,10.0171,2.33,6.0,57.11,31.3,https://xueqiu.com/S/SH605577,2026-09-02
002104.SZ,恒宝股份,通信设备,⚡ 创60日新高,13.51,10.0163,2.2,22.99,82.09,-,https://xueqiu.com/S/SZ002104,2026-09-02
001366.SZ,播恩集团,饲料,⚡ 创60日新高,14.5,10.0152,1.78,5.4,23.3,461.9,https://xueqiu.com/S/SZ001366,2026-09-02
003005.SZ,竞业达,软件服务,⚡ 创60日新高,20.0,10.011,0.55,3.27,26.84,-,https://xueqiu.com/S/SZ003005,2026-09-02
601086.SH,国芳集团,百货,🔥 创半年(120日)新高,11.1,10.0099,0.32,0.87,73.93,62.2,https://xueqiu.com/S/SH601086,2026-09-02
603958.SH,哈森股份,服饰,⚡ 创60日新高,23.85,10.0092,0.94,14.88,52.32,-,https://xueqiu.com/S/SH603958,2026-09-02
600967.SH,内蒙一机,运输设备,⚡ 创60日新高,13.41,10.0082,2.49,3.82,228.21,105.3,https://xueqiu.com/S/SH600967,2026-09-02
002265.SZ,建设工业,专用机械,⚡ 创60日新高,21.44,10.0051,1.38,1.73,221.48,88.2,https://xueqiu.com/S/SZ002265,2026-09-02
601606.SH,长城军工,专用机械,⚡ 创60日新高,36.62,10.003,2.04,8.2,265.21,-,https://xueqiu.com/S/SH601606,2026-09-02
002536.SZ,飞龙股份,汽车配件,🏆 创一年(250日)新高,58.07,10.0019,1.01,10.6,316.67,183.2,https://xueqiu.com/S/SZ002536,2026-09-02
603207.SH,小方制药,化学制药,⚡ 创60日新高,27.94,10.0,4.51,24.16,15.26,23.5,https://xueqiu.com/S/SH603207,2026-09-02
603216.SH,梦天家居,家居用品,⚡ 创60日新高,24.09,10.0,2.05,5.07,53.65,87.9,https://xueqiu.com/S/SH603216,2026-09-02
003039.SZ,顺控发展,水务,⚡ 创60日新高,13.77,9.984,3.54,3.22,85.03,27.4,https://xueqiu.com/S/SZ003039,2026-09-02
000852.SZ,石化机械,化工机械,⚡ 创60日新高,6.06,9.9819,4.22,6.12,57.59,-,https://xueqiu.com/S/SZ000852,2026-09-02
000635.SZ,英力特,化工原料,⚡ 创60日新高,7.94,9.9723,2.5,2.81,29.13,-,https://xueqiu.com/S/SZ000635,2026-09-02
