History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High
≡,AAPL - Apple Inc.,22.04,,227917808,$289.36,"$65,950,296,000",,$309.35,6.91%,$223.86,$344.27
≡,AXP - American Express,17.14,,151610700,$338.25,"$51,282,319,000",,$336.00,-0.67%,$289.26,$384.36
≡,KO - Coca Cola Co.,10.86,,400000000,$81.27,"$32,507,999,000",,$91.10,12.10%,$64.04,$91.87
≡,GOOGL - Alphabet Inc.,9.41,Add 45.24%,78791167,$357.37,"$28,157,600,000",,$344.82,-3.51%,$200.73,$408.37
≡,BAC - Bank of America Corp.,9.2,Reduce 5.89%,483394015,$56.98,"$27,543,792,000",,$61.69,8.27%,$45.88,$65.23
≡,CVX - Chevron Corp.,4.67,,84375856,$165.76,"$13,986,142,000",,$205.27,23.84%,$142.51,$210.92
≡,OXY - Occidental Petroleum,4.3,,264941431,$48.57,"$12,868,205,000",,$61.30,26.21%,$38.44,$67.14
≡,CB - Chubb Limited,3.9,,34249183,$340.74,"$11,670,067,000",,$340.99,0.07%,$262.86,$365.91
≡,MCO - Moody's Corp.,3.73,,24669778,$452.92,"$11,173,436,000",,$503.32,11.13%,$399.61,$543.25
≡,GOOG - Alphabet Inc. CL C,3.21,Add 658.35%,27188433,$353.33,"$9,606,489,000",,$341.75,-3.28%,$201.55,$404.23
≡,KHC - Kraft Heinz Co.,2.57,,325634818,$23.62,"$7,691,494,000",,$25.58,8.30%,$20.66,$28.09
≡,DVA - DaVita HealthCare Partners,2.15,Reduce 4.05%,28880209,$222.48,"$6,425,269,000",,$173.82,-21.87%,$101.00,$247.49
≡,DAL - Delta Air Lines Inc.,1.79,Add 43.99%,57320000,$93.66,"$5,368,591,000",,$82.41,-12.01%,$54.60,$95.44
≡,SIRI - SiriusXM Holdings Inc,1.23,,124807117,$29.54,"$3,686,803,000",,$28.69,-2.88%,$19.15,$32.37
≡,VRSN - Verisign Inc.,0.76,,8989880,$251.56,"$2,261,495,000",,$281.80,12.02%,$206.93,$311.57
≡,KR - Kroger Co.,0.72,Reduce 22.00%,39000000,$55.53,"$2,165,671,000",,$57.90,4.27%,$53.78,$75.66
≡,ALLY - Ally Financial Inc.,0.41,Reduce 6.90%,27000000,$45.95,"$1,240,650,000",,$42.93,-6.57%,$35.43,$46.96
≡,LEN - Lennar Corp.,0.4,Add 29.82%,13111741,$90.49,"$1,186,482,000",,$87.02,-3.83%,$79.83,$141.39
≡,LLYVK - Liberty Media Corp. Series C Live,0.37,,10587143,$105.64,"$1,118,425,000",,$105.42,-0.21%,$78.68,$109.75
≡,NYT - New York Times CL A,0.37,Add 3.65%,15700000,$69.98,"$1,098,686,000",,$65.69,-6.13%,$53.65,$86.83
≡,COF - Capital One Financial,0.2,Reduce 58.04%,3000000,$200.62,"$601,860,000",,$217.91,8.62%,$173.62,$256.63
≡,LLYVA - Liberty Media Corp. Series A Live,0.17,,4986588,$101.26,"$504,942,000",,$101.70,0.43%,$77.12,$106.06
≡,LPX - Louisiana-Pacific Corp.,0.15,,5664793,$78.66,"$445,593,000",,$73.18,-6.97%,$65.85,$99.71
≡,NUE - Nucor Corp.,0.14,Reduce 52.45%,1857752,$222.75,"$413,814,000",,$243.63,9.37%,$130.11,$280.11
≡,M - Macy's Inc.,0.06,Add 141.82%,7347426,$23.55,"$173,031,000",,$22.82,-3.10%,$12.47,$26.59
≡,NVR - NVR Inc.,0.03,,11112,$6813.44,"$75,711,000",,$6358.51,-6.68%,$5501.01,$8618.28
≡,JEF - Jefferies Financial Group Inc.,0.01,,433558,$49.98,"$21,669,000",,$52.33,4.70%,$35.00,$68.96
≡,LEN.B - Lennar Corp. CL B,0.01,Add 25.42%,298117,$88.71,"$26,446,000",,$85.49,-3.63%,$78.02,$134.56
≡,DHI - D.R. Horton,0.0,Buy,3564,$163.02,"$581,000",,$148.35,-9.00%,$130.96,$182.36
