date,up_count,down_count,total_amount_yi
2026-02-03,4856,532,25656.13
2026-02-04,3254,2130,25032.63
2026-02-05,1618,3719,21942.8
2026-02-06,2749,2550,21634.75
2026-02-09,4612,759,22701.79
2026-02-10,2195,3128,21247.45
2026-02-11,2050,3241,20010.43
2026-02-12,2108,3280,21607.71
2026-02-13,1540,3829,19989.42
2026-02-24,4006,1392,22181.61
2026-02-25,3748,1609,24808.92
2026-02-26,2485,2870,25566.39
2026-02-27,3271,2068,25054.8
2026-03-02,1142,4282,30457.65
2026-03-03,643,4807,31575.58
2026-03-04,1745,3640,23879.42
2026-03-05,4079,1306,24125.91
2026-03-06,4260,1154,22192.39
2026-03-09,1423,3964,26705.82
2026-03-10,4536,850,24168.3
2026-03-11,2060,3284,25282.94
2026-03-12,1494,3893,24605.55
2026-03-13,1502,3828,24172.76
2026-03-16,2843,2494,23399.03
2026-03-17,867,4541,22245.68
2026-03-18,3554,1831,20610.28
2026-03-19,505,4955,21272.62
2026-03-20,662,4786,23028.25
2026-03-23,305,5172,24481.05
2026-03-24,5136,329,20960.7
2026-03-25,4874,560,21928.53
2026-03-26,916,4493,19569.68
2026-03-27,4337,1073,18637.92
2026-03-30,2868,2464,19275.48
2026-03-31,1011,4378,20059.05
2026-04-01,4495,887,20248.38
2026-04-02,1052,4378,18577.9
2026-04-03,716,4746,16689.13
2026-04-07,3977,1426,16235.81
2026-04-08,5174,301,24506.45
2026-04-09,1140,4299,21473.41
2026-04-10,3977,1397,23376.11
2026-04-13,2378,2960,21630.65
2026-04-14,3723,1594,23967.99
2026-04-15,1841,3541,24294.78
2026-04-16,4293,1072,23549.63
2026-04-17,2396,2986,24528.93
2026-04-20,3424,1898,26065.23
2026-04-21,1949,3432,24266.47
2026-04-22,2920,2433,25788.47
2026-04-24,2036,3352,26576.23
2026-04-27,3284,2105,26048.07
2026-04-29,3973,1403,26088.74
2026-05-06,3889,1482,32465.96
2026-05-07,3520,1832,31682.7
2026-05-08,3637,1728,30757.2
2026-05-12,1379,4048,32697.36
2026-05-13,3215,2134,32642.12
2026-05-14,1047,4387,33880.86
2026-05-15,1816,3584,33702.32
2026-05-19,3608,1774,29089.77
2026-05-20,1638,3804,29764.59
2026-05-21,695,4773,35072.8
2026-05-22,3869,1509,29246.59
2026-05-25,2181,3225,32269.52
2026-05-26,1354,4082,32643.59
2026-05-27,974,4489,32599.04
2026-05-28,3018,2365,29873.26
2026-05-29,1542,3884,33408.58
2026-06-01,3776,1682,28967.24
2026-06-02,1543,3876,28128.49
2026-06-03,1713,3727,31531.25
2026-06-04,1344,4121,27791.64
2026-06-05,3277,2113,31006.9
2026-06-08,899,4591,28234.29
2026-06-09,3322,2049,26667.33
2026-06-10,1556,3882,26441.43
2026-06-12,3923,1515,32361.11
2026-06-15,3906,1475,30507.42
2026-06-16,2730,2677,30863.47
2026-06-17,1723,3734,31140.39
2026-06-18,2023,3395,33317.19
2026-06-22,2916,2468,37621.03
2026-06-23,2764,2644,34660.27
2026-06-24,1434,4034,33069.39
2026-06-25,1231,4228,36189.44
2026-06-26,790,4676,35753.91
2026-06-29,2469,2933,35393.41
2026-06-30,3054,2364,32938.2
2026-07-01,4329,1145,36827.97
2026-07-02,2219,3162,34739.26
2026-07-03,3804,1628,32052.62
2026-07-06,1876,3541,31124.37
2026-07-08,1593,3790,25825.92
2026-07-09,2486,2888,29322.57
2026-07-10,3772,1678,34106.93
2026-07-13,801,4683,28347.13
2026-07-15,3351,2098,25874.11
2026-07-16,2499,2861,24189.45
2026-07-17,482,5001,26716.49
2026-07-20,1740,3710,27180.82
2026-07-21,3107,2301,29742.02
2026-07-22,1530,3876,26686.4
2026-07-23,4260,1208,22094.78
2026-07-24,555,4940,19444.6
2026-07-27,5195,286,20886.98
2026-07-28,2603,2769,20391.39
2026-07-29,4253,1215,23117.27
2026-07-30,1768,3635,23584.22
2026-07-31,4691,728,25598.98
2026-08-05,3725,1621,26798.86
2026-08-06,2789,2590,25475.11
2026-08-07,2856,2536,26834.02
2026-08-10,4068,1391,25387.11
2026-08-11,1615,3777,23355.94
2026-08-12,4128,1280,21671.64
2026-08-13,1143,4317,25679.77
2026-08-14,2400,2970,21565.76
2026-08-17,4335,1064,24025.12
2026-08-18,2121,3292,24197.79
2026-08-19,449,5069,25300.11
2026-08-20,4096,1347,20939.09
2026-08-21,2505,2862,18922.56
2026-08-24,1460,3965,20212.15
2026-08-25,4234,1246,18442.78
2026-08-26,2946,2448,18218.15
2026-08-27,3394,1944,21409.6
2026-08-28,3013,2390,21177.32
2026-08-31,3181,2218,21453.56
2026-09-01,3387,2040,20519.46
2026-09-02,1541,3901,18202.98
2026-09-03,1846,3570,17802.38
2026-09-04,2444,2914,20510.49
