ts_code,name,industry,close,amount,circ_mv
920298.BJ,腾信精密,机械基件,94.5,922502.6148,144585.0
601091.SH,C沈鼓,机械基件,37.72,6770866.376,796507.5904
920268.BJ,百迈科,医疗保健,33.46,208845.88741,48343.4631
688837.SH,C信诺维,生物制药,60.8,1986638.58,295451.52
688801.SH,燧原科技,半导体,524.0,1864263.344,937975.72
920269.BJ,杰锋动力,汽车配件,35.24,58762.60745,31361.838
920289.BJ,华汇智能,专用机械,29.89,182034.19315,43191.1008
301689.SZ,电科思仪,电器仪表,62.7,1920132.76287,360910.605
920071.BJ,金钛股份,小金属,27.7,333823.0691,87255.0
603448.SH,天博智能,汽车配件,62.72,345776.982,147497.3696
301699.SZ,洛轴股份,机械基件,31.41,954342.51685,219654.5274
920288.BJ,华大海天,造纸,19.75,150018.91492,35313.0
601123.SH,马矿股份,普钢,19.56,295928.279,187440.1548
920093.BJ,信胜科技,纺织机械,19.63,52978.12269,49467.6
301697.SZ,贝特利,化工原料,27.91,330736.11759,122778.881
920059.BJ,双英集团,汽车配件,12.97,49720.39308,41916.8688
688835.SH,高凯技术,专用机械,368.8,993454.094,692709.664
301688.SZ,格林生物,化工原料,40.0,374093.7883,103940.0
920107.BJ,恒兴股份,染料涂料,19.99,25498.90324,37727.127
920138.BJ,杰理科技,软件服务,35.37,157628.46655,122428.8585
688836.SH,宇树科技,专用机械,494.85,1853595.617,1488889.8345
301655.SZ,绿控传动,汽车配件,23.19,193410.13796,104281.2558
688826.SH,频准激光,元器件,821.0,895549.997,625421.38
920165.BJ,珈凯生物,日用化工,35.68,25294.92447,34270.7863
920038.BJ,森合高科,化工原料,40.0,164855.63405,212866.724
688828.SH,国仪公司,电器仪表,93.57,271453.803,243646.923
301717.SZ,超纯应材,半导体,360.28,949298.4316,627838.3392
920258.BJ,聚仁新材,化工原料,10.56,54413.59464,139139.1197
920065.BJ,千岸科技,互联网,38.25,190084.20345,60243.75
301707.SZ,展芯股份,元器件,74.18,354200.12141,200676.1868
603468.SH,津富士达,摩托车,22.84,89057.353,91333.9624
001232.SZ,嘉立创,元器件,193.51,636398.23362,855439.9815
920238.BJ,长鹰硬科,机械基件,68.35,155747.42523,132646.4417
301677.SZ,欣兴工具,机械基件,52.28,201523.11623,112088.32
920176.BJ,维琪科技,化工原料,69.5,138103.7224,55231.65
688825.SH,长鑫科技,半导体,56.88,13969925.286,25613285.832
920079.BJ,乔路铭,汽车配件,12.96,40956.1456,94090.9815
920117.BJ,龙鑫智能,专用机械,31.15,282838.92178,62966.6193
688806.SH,泰诺麦博,生物制药,25.55,349661.694,130370.6635
920081.BJ,欧伦电气,家用电器,42.29,51698.17575,72315.9
920189.BJ,康美特,化工原料,21.11,98922.71761,179155.0814
920136.BJ,永励精密,汽车配件,22.1,39315.35995,46410.0
301583.SZ,托伦斯,机械基件,140.2,1648877.533,432256.228
920222.BJ,益坤电气,电气设备,27.57,38667.26315,31878.0606
920193.BJ,吉和昌,化工原料,31.2,99432.23691,78624.0
001248.SZ,华润新能源,新型电力,12.05,644807.09662,1280196.579
920072.BJ,科莱瑞迪,医疗保健,24.72,60409.7772,35757.48
001399.SZ,惠科股份,元器件,24.22,2284403.83503,1042832.5474
688797.SH,臻宝科技,半导体,287.49,1211610.927,839260.9323
920220.BJ,朗信电气,汽车配件,42.72,29894.79999,88583.4957
920218.BJ,新天力,塑料,15.2,11004.36743,32035.8681
920211.BJ,新睿电子,专用机械,94.33,24061.29994,109391.3975
920206.BJ,彩客科技,染料涂料,40.73,91297.28446,112109.7445
920200.BJ,振宏股份,电气设备,31.07,98767.56344,137854.483
920191.BJ,瑞尔竞达,其他建材,8.9,5372.15411,35524.35
920188.BJ,悦龙科技,橡胶,22.1,13171.24535,43744.4726
920187.BJ,通领科技,汽车配件,17.23,6870.97351,57195.4416
920186.BJ,中科仪,机械基件,72.82,254766.38741,852545.5605
920183.BJ,海菲曼,IT设备,29.9,10826.52349,33636.9827
920181.BJ,赛英电子,元器件,71.59,36485.45601,71733.18
920180.BJ,爱得科技,医疗保健,11.9,7089.87107,42803.6741
920178.BJ,锐翔智能,专用机械,92.32,95521.41956,177764.1356
920177.BJ,恒道科技,专用机械,23.51,7910.86837,43560.5176
920168.BJ,通宝光电,汽车配件,15.41,3523.38477,43416.9261
920166.BJ,海圣医疗,医疗保健,20.22,10284.39742,48052.2376
920161.BJ,龙辰科技,元器件,22.16,98598.93263,163340.4537
