date,mean_pct,median_pct,up,down,limit_up,limit_down
20260810,1.3626574033947276,1.2584,4068,1391,106,7
20260811,-0.213439501715111,-0.6831,1615,3777,64,5
20260812,1.2361901787326233,0.8361,4128,1280,100,1
20260817,1.7928500270807004,1.3466,4335,1064,115,1
20260818,0.0513535198555956,-0.47115,2121,3292,91,8
20260819,-4.017892311857065,-3.9223,449,5069,42,160
20260820,1.3918727666486197,1.1794,4096,1347,89,14
20260824,-1.1590701532912533,-1.2177,1460,3965,52,22
20260825,1.5330315182113232,1.4668,4234,1246,72,4
20260826,0.2614433387416621,0.1577,2946,2448,60,2
20260827,1.1875746890210923,0.5291,3394,1944,83,4
20260828,0.2731239228411753,0.2241,3013,2390,88,3
20260831,0.7572935617673581,0.451,3181,2218,91,15
20260901,0.5782210962856112,0.5747,3387,2040,99,0
20260902,-0.6371606634216694,-0.9474,1541,3901,62,10
20260903,-0.3967793296089386,-0.6803,1846,3570,48,17
20260904,-0.2762419069935111,-0.17135,2444,2914,47,12
20260907,0.9394054604433232,0.3374,3167,2196,100,4
20260908,0.6662131194809876,0.5376,3417,2026,76,3
20260909,-0.4395293873873874,-0.678,1794,3642,53,10
20260910,-1.3110698504234997,-1.4908,955,4512,41,17
20260911,-1.9655068648648648,-2.20995,643,4870,45,28
20260914,0.5276578378378379,0.2829,3126,2224,59,20
20260915,-1.3681651225666909,-1.4993500000000002,1120,4376,33,37
20260916,1.441282108108108,0.9813,4170,1189,95,5
20260917,0.1889594453448586,-0.0782,2576,2820,53,2
20260918,1.5667630109850532,1.0733,4234,1152,87,1
20260921,1.9182546011165136,1.5406,4536,936,110,4
20260922,0.4080975153042852,-0.2077999999999999,2374,3030,69,7
20260923,-0.2631231641468683,-0.61215,1891,3564,57,20
20260924,-1.205928684542019,-1.3021,1120,4306,57,19
