date,code,name,industry,limit_times,first_time
20260828,000017,深中华A,饰品,7,09:33:00
20260828,002084,海鸥住工,家居用品,5,09:25:00
20260828,600371,万向德农,种植业,4,09:25:02
20260828,002742,冀衡医药,化学制药,4,09:30:00
20260828,002855,捷荣技术,消费电子,4,09:25:00
20260828,600479,千金药业,中药Ⅱ,3,09:34:27
20260828,002942,新农股份,农化制品,3,09:25:00
20260828,000712,锦龙股份,证券Ⅱ,3,09:25:00
20260828,600654,中安科,软件开发,2,09:25:03
20260828,603011,合锻智能,专用设备,2,09:52:41
20260828,600540,新赛股份,种植业,2,09:25:03
20260828,600378,昊华科技,化学制品,2,09:25:02
20260828,002396,星网锐捷,通信设备,2,09:36:09
20260828,002886,沃特股份,塑料,2,09:25:00
20260828,603269,海鸥股份,通用设备,2,09:31:13
20260828,920895,花溪科技,专用设备,2,11:11:25
20260828,603900,莱绅通灵,饰品,2,09:30:01
20260828,600162,香江控股,房地产开,2,09:36:20
20260828,600689,上海三毛,综合Ⅱ,1,13:52:21
20260828,002915,中欣氟材,化学制品,1,10:56:42
20260828,000798,中水渔业,渔业,1,10:43:42
20260828,603559,中通国脉,通信服务,1,10:01:17
20260828,002279,久其软件,软件开发,1,09:32:57
20260828,002952,亚世光电,光学光电,1,09:52:12
20260828,000925,众合科技,轨交设备,1,13:41:00
20260828,603086,先达股份,农化制品,1,13:38:36
20260828,600251,冠农股份,农产品加,1,13:33:55
20260828,603082,北自科技,自动化设,1,09:52:47
20260828,000059,华锦股份,炼化及贸,1,09:33:06
20260828,002949,华阳国际,工程咨询,1,10:25:12
20260828,600815,厦工股份,工程机械,1,13:20:15
20260828,002971,和远气体,化学制品,1,09:57:48
20260828,002486,嘉麟杰,服装家纺,1,14:00:18
20260828,605188,国光连锁,一般零售,1,11:14:24
20260828,603778,国晟科技,光伏设备,1,09:46:58
20260828,601086,国芳集团,一般零售,1,09:38:47
20260828,603608,天创时尚,服装家纺,1,10:50:38
20260828,002354,天娱数科,广告营销,1,09:30:00
20260828,002212,天融信,软件开发,1,09:38:03
20260828,603029,天鹅股份,专用设备,1,11:09:17
20260828,002427,尤夫股份,化学纤维,1,13:21:06
20260828,605006,山东玻纤,玻璃玻纤,1,10:01:56
20260828,002631,德尔未来,家居用品,1,09:30:00
20260828,000560,我爱我家,房地产服,1,09:44:18
20260828,600354,敦煌种业,种植业,1,09:55:08
20260828,603016,新宏泰,电网设备,1,09:49:15
20260828,600551,时代出版,出版,1,09:30:50
20260828,601222,林洋能源,电网设备,1,10:23:06
20260828,601003,柳钢股份,普钢,1,10:10:48
20260828,002107,沃华医药,中药Ⅱ,1,10:02:18
20260828,000912,泸天化,农化制品,1,14:26:06
20260828,000567,海德股份,多元金融,1,13:10:12
20260828,000062,深圳华强,其他电子,1,11:02:09
20260828,000011,深物业A,房地产开,1,10:21:09
20260828,000565,渝三峡Ａ,化学制品,1,14:44:06
20260828,600691,潞化科技,农化制品,1,11:01:23
20260828,001376,百通能源,电力,1,10:29:03
20260828,003030,祖名股份,农产品加,1,13:20:00
20260828,002679,福建金森,林业Ⅱ,1,10:27:15
20260828,605566,福莱蒽特,化学制品,1,13:08:04
20260828,603045,福达合金,金属新材,1,09:35:12
20260828,603171,税友股份,IT服务Ⅱ,1,10:03:12
20260828,003005,竞业达,IT服务Ⅱ,1,09:36:09
20260828,002349,精华制药,中药Ⅱ,1,10:18:03
20260828,002165,红 宝 丽,化学制品,1,09:42:42
20260828,688209,英集芯,半导体,1,14:08:38
20260828,002918,蒙娜丽莎,家居用品,1,09:50:48
20260828,002437,誉衡药业,化学制药,1,14:34:12
20260828,600227,赤天化,农化制品,1,14:15:07
20260828,001288,运机集团,专用设备,1,09:42:54
20260828,000626,远大控股,物流,1,13:09:42
20260828,600722,金牛化工,化学原料,1,13:13:41
20260828,600714,金瑞矿业,化学原料,1,14:21:49
20260828,603396,金辰股份,光伏设备,1,13:00:17
20260828,002578,闽发铝业,工业金属,1,10:57:57
20260828,600929,雪天盐业,化学原料,1,09:34:04
20260828,603007,顺景科技,汽车零部,1,09:53:58
20260828,601700,风范股份,电网设备,1,10:19:06
20260828,002229,鸿博股份,IT服务Ⅱ,1,10:03:48
20260828,688152,麒麟信安,软件开发,1,09:39:54
20260828,000716,黑芝麻,休闲食品,1,10:48:54
20260828,300378,鼎捷数智,软件开发,1,09:30:24
