ts_code,name,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,xueqiu_url,更新日期
159137.SZ,华宝中证港股通医疗主题ETF,0.99,99.7,0.0,85.08,,https://xueqiu.com/S/SZ159137,2026-08-29
159167.SZ,工银瑞信中证港股通医疗主题ETF,0.97,99.55,0.0,84.44,,https://xueqiu.com/S/SZ159167,2026-08-29
159366.SZ,永赢中证港股通医疗主题ETF,1.48,99.85,0.0,85.4,23.14,https://xueqiu.com/S/SZ159366,2026-08-29
159622.SZ,东财中证沪港深创新药产业ETF,1.21,98.66,0.0,91.38,34.79,https://xueqiu.com/S/SZ159622,2026-08-29
159718.SZ,平安中证港股通医药卫生综合ETF,0.93,98.86,0.0,82.28,16.45,https://xueqiu.com/S/SZ159718,2026-08-29
159748.SZ,富国中证沪港深创新药产业ETF,0.86,98.56,0.0,92.01,36.04,https://xueqiu.com/S/SZ159748,2026-08-29
159776.SZ,银华中证港股通医药卫生综合ETF,1.24,98.76,0.0,80.69,15.92,https://xueqiu.com/S/SZ159776,2026-08-29
159835.SZ,建信中证创新药产业ETF,0.67,96.04,-0.0,82.65,25.62,https://xueqiu.com/S/SZ159835,2026-08-29
159858.SZ,南方中证创新药产业ETF,0.7,96.58,0.0,86.24,28.7,https://xueqiu.com/S/SZ159858,2026-08-29
159985.SZ,华夏饲料豆粕期货ETF,2.26,94.1,0.0,80.32,60.12,https://xueqiu.com/S/SZ159985,2026-08-29
159992.SZ,银华中证创新药产业ETF,0.86,96.13,0.0,83.17,25.86,https://xueqiu.com/S/SZ159992,2026-08-29
161032.SZ,富国中证煤炭指数(LOF)-A,2.44,95.59,-0.0,84.5,79.64,https://xueqiu.com/S/SZ161032,2026-08-29
161035.SZ,富国中证医药主题指数增强(LOF)-A,1.31,94.95,-0.0,82.43,37.63,https://xueqiu.com/S/SZ161035,2026-08-29
161122.SZ,易方达中证万得生物科技指数(LOF)-A,0.58,97.32,0.0,82.86,26.86,https://xueqiu.com/S/SZ161122,2026-08-29
161224.SZ,国投瑞银新丝路灵活配置混合(LOF),1.34,88.01,-0.0,88.89,66.63,https://xueqiu.com/S/SZ161224,2026-08-29
161724.SZ,招商中证煤炭等权指数-A,2.54,95.19,0.0,87.83,83.31,https://xueqiu.com/S/SZ161724,2026-08-29
163208.SZ,诺安油气能源股票(QDII-LOF-FOF),1.37,94.3,0.0,87.57,88.34,https://xueqiu.com/S/SZ163208,2026-08-29
165519.SZ,中信保诚中证800医药指数(LOF)-A,1.07,96.53,0.0,83.97,36.92,https://xueqiu.com/S/SZ165519,2026-08-29
168204.SZ,国联中证煤炭指数-A,2.25,95.44,0.0,84.07,79.41,https://xueqiu.com/S/SZ168204,2026-08-29
501005.SH,汇添富中证精准医疗主题指数(LOF)-A,1.07,97.37,0.0,86.72,35.21,https://xueqiu.com/S/SH501005,2026-08-29
501087.SH,交银瑞丰混合(LOF),1.36,91.33,-0.0,83.39,57.69,https://xueqiu.com/S/SH501087,2026-08-29
510660.SH,华夏上证医药卫生ETF,2.5,95.49,0.0,80.74,29.94,https://xueqiu.com/S/SH510660,2026-08-29
512290.SH,国泰中证生物医药ETF,1.05,96.98,-0.0,84.71,28.52,https://xueqiu.com/S/SH512290,2026-08-29
513120.SH,广发中证香港创新药ETF(QDII),1.33,99.75,0.0,87.51,18.99,https://xueqiu.com/S/SH513120,2026-08-29
513200.SH,易方达中证港股通医药卫生综合ETF,1.1,98.81,0.0,80.9,16.04,https://xueqiu.com/S/SH513200,2026-08-29
513290.SH,汇添富纳斯达克生物科技ETF(QDII),1.85,98.27,-0.0,97.35,94.5,https://xueqiu.com/S/SH513290,2026-08-29
513700.SH,鹏华中证港股通医药卫生综合ETF,0.66,98.71,0.0,80.79,16.27,https://xueqiu.com/S/SH513700,2026-08-29
513780.SH,景顺长城中证港股通创新药ETF,1.74,100.0,0.0,89.89,21.18,https://xueqiu.com/S/SH513780,2026-08-29
515120.SH,广发中证创新药产业ETF,0.65,96.28,0.0,82.96,25.5,https://xueqiu.com/S/SH515120,2026-08-29
515220.SH,国泰中证煤炭ETF,1.35,96.09,-0.0,85.34,78.46,https://xueqiu.com/S/SH515220,2026-08-29
516060.SH,工银瑞信中证创新药产业ETF,0.6,96.78,-0.0,84.81,28.05,https://xueqiu.com/S/SH516060,2026-08-29
516080.SH,易方达中证创新药产业ETF,0.69,96.43,0.0,84.66,28.64,https://xueqiu.com/S/SH516080,2026-08-29
516500.SH,华夏中证生物科技主题ETF,0.65,96.73,-0.0,80.05,25.03,https://xueqiu.com/S/SH516500,2026-08-29
