ts_code,name,细分行业,price_now,RPS_50,rps_50_chg,RPS_120,RPS_250,连续天数,pe_ttm,mv_亿,turnover_rate,xueqiu_url,更新日期,初次入选
000518.SZ,四环生物,生物制药,3.7,94.36,-0.44,93.67,89.58,7,,38.09,5.8,https://xueqiu.com/S/SZ000518,2026-08-24,2026-08-14
000593.SZ,德龙汇能,供气供热,22.56,89.33,-3.03,95.84,98.5,14,342.92,80.87,6.08,https://xueqiu.com/S/SZ000593,2026-08-24,2026-08-05
000608.SZ,阳光股份,区域地产,7.24,91.95,-2.07,99.23,99.07,2,,53.97,3.06,https://xueqiu.com/S/SZ000608,2026-08-24,2026-08-21
000620.SZ,盈新发展,全国地产,3.47,94.47,999.0,89.98,94.86,1,,162.11,9.12,https://xueqiu.com/S/SZ000620,2026-08-24,2026-08-24
000703.SZ,恒逸石化,化纤,19.02,98.67,-0.62,95.74,98.2,22,12.25,723.21,4.06,https://xueqiu.com/S/SZ000703,2026-08-24,2026-07-22
000811.SZ,冰轮环境,工程机械,41.4,97.87,1.05,98.72,98.01,14,67.4,405.14,5.33,https://xueqiu.com/S/SZ000811,2026-08-24,2026-08-05
001210.SZ,金房能源,供气供热,26.42,89.6,-1.76,97.56,96.57,5,42.78,35.25,10.55,https://xueqiu.com/S/SZ001210,2026-08-24,2026-08-18
001229.SZ,魅视科技,IT设备,43.5,98.95,-0.41,97.87,92.65,14,114.26,32.08,5.99,https://xueqiu.com/S/SZ001229,2026-08-24,2026-08-05
001258.SZ,立新能源,新型电力,12.57,99.22,0.33,96.99,91.52,22,78.66,117.32,12.99,https://xueqiu.com/S/SZ001258,2026-08-24,2026-07-22
001359.SZ,平安电工,矿物制品,88.68,87.48,-7.65,95.87,96.32,15,92.54,53.47,6.88,https://xueqiu.com/S/SZ001359,2026-08-24,2026-07-31
002141.SZ,贤丰控股,元器件,5.98,99.56,-0.08,95.78,89.64,13,540.33,61.77,13.37,https://xueqiu.com/S/SZ002141,2026-08-24,2026-08-06
002293.SZ,罗莱生活,纺织,11.83,93.67,999.0,90.64,87.52,1,16.97,98.24,2.49,https://xueqiu.com/S/SZ002293,2026-08-24,2026-08-24
002412.SZ,汉森制药,中成药,11.21,99.67,0.23,97.63,91.22,2,25.04,55.81,7.33,https://xueqiu.com/S/SZ002412,2026-08-24,2026-08-21
002432.SZ,九安医疗,医疗保健,67.27,90.42,-0.5,95.19,91.33,2,13.66,312.99,4.2,https://xueqiu.com/S/SZ002432,2026-08-24,2026-08-21
002485.SZ,ST雪发,商贸代理,5.99,97.18,0.6,88.3,89.25,4,,32.59,0.45,https://xueqiu.com/S/SZ002485,2026-08-24,2026-08-19
002528.SZ,*ST英飞,IT设备,6.03,96.04,3.32,99.21,94.67,2,,63.33,4.0,https://xueqiu.com/S/SZ002528,2026-08-24,2026-08-21
002536.SZ,飞龙股份,汽车配件,48.8,94.71,2.48,95.4,95.53,2,153.95,266.12,15.13,https://xueqiu.com/S/SZ002536,2026-08-24,2026-08-21
002631.SZ,德尔未来,家居用品,8.73,92.02,-3.09,95.51,91.72,3,,69.28,7.65,https://xueqiu.com/S/SZ002631,2026-08-24,2026-08-20
002674.SZ,兴业科技,纺织,27.03,99.38,-0.11,98.75,96.29,41,76.04,79.08,6.12,https://xueqiu.com/S/SZ002674,2026-08-24,2026-06-23
002762.SZ,金发拉比,服饰,9.71,94.35,-1.52,95.89,87.88,10,,20.52,4.12,https://xueqiu.com/S/SZ002762,2026-08-24,2026-08-11
002768.SZ,国恩股份,塑料,60.05,96.84,-1.36,97.34,95.54,37,26.57,151.48,4.44,https://xueqiu.com/S/SZ002768,2026-08-24,2026-06-29
002821.SZ,凯莱英,生物制药,156.57,97.89,-0.71,97.74,89.06,8,50.86,496.4,4.59,https://xueqiu.com/S/SZ002821,2026-08-24,2026-08-13
002832.SZ,比音勒芬,服饰,24.17,92.29,-1.14,96.46,88.75,20,22.78,94.12,3.05,https://xueqiu.com/S/SZ002832,2026-08-24,2026-07-24
003004.SZ,声迅股份,IT设备,68.84,87.24,0.12,99.54,98.81,2,,47.32,1.49,https://xueqiu.com/S/SZ003004,2026-08-24,2026-08-21
003032.SZ,传智教育,文教休闲,9.99,99.15,0.08,95.96,87.82,2,,28.42,28.48,https://xueqiu.com/S/SZ003032,2026-08-24,2026-08-21
300083.SZ,创世纪,机床制造,13.37,97.29,0.75,96.53,88.15,3,190.01,199.5,4.06,https://xueqiu.com/S/SZ300083,2026-08-24,2026-08-20
300093.SZ,金刚光伏,电气设备,25.02,95.11,999.0,96.09,93.58,1,50.86,57.79,6.4,https://xueqiu.com/S/SZ300093,2026-08-24,2026-08-24
300096.SZ,ST易联众,软件服务,9.57,94.4,-1.34,91.32,96.47,8,86.18,41.15,0.51,https://xueqiu.com/S/SZ300096,2026-08-24,2026-08-13
300192.SZ,科德教育,文教休闲,17.39,98.8,999.0,91.52,87.28,1,72.71,79.2,12.28,https://xueqiu.com/S/SZ300192,2026-08-24,2026-08-24
300209.SZ,行云科技,互联网,33.9,97.31,3.86,99.96,99.91,15,,251.85,12.41,https://xueqiu.com/S/SZ300209,2026-08-24,2026-07-31
300214.SZ,日科化学,化工原料,12.27,99.42,-0.05,97.36,90.31,2,,57.04,14.67,https://xueqiu.com/S/SZ300214,2026-08-24,2026-08-21
300285.SZ,国瓷材料,陶瓷,64.1,92.69,999.0,97.73,98.42,1,99.65,546.82,11.36,https://xueqiu.com/S/SZ300285,2026-08-24,2026-08-24
300313.SZ,天山生物,农业综合,15.36,99.6,999.0,99.12,87.36,1,,30.31,23.49,https://xueqiu.com/S/SZ300313,2026-08-24,2026-08-24
300420.SZ,五洋自控,机械基件,7.78,96.29,-1.29,98.53,93.48,42,418.27,86.85,7.97,https://xueqiu.com/S/SZ300420,2026-08-24,2026-06-18
300483.SZ,首华燃气,石油开采,23.2,94.46,-0.68,87.89,93.85,15,25.7,89.21,5.6,https://xueqiu.com/S/SZ300483,2026-08-24,2026-07-31
300489.SZ,光智科技,专用机械,202.15,96.33,1.28,99.98,99.61,15,,280.28,8.99,https://xueqiu.com/S/SZ300489,2026-08-24,2026-07-31
300534.SZ,陇神戎发,中成药,16.7,99.85,-0.08,97.96,88.45,8,102.61,50.44,25.2,https://xueqiu.com/S/SZ300534,2026-08-24,2026-08-13
300540.SZ,蜀道装备,专用机械,28.36,90.73,999.0,90.77,90.36,1,76.89,58.63,7.3,https://xueqiu.com/S/SZ300540,2026-08-24,2026-08-24
300567.SZ,精测电子,电器仪表,213.7,88.55,-0.48,95.03,98.76,12,686.07,485.21,2.53,https://xueqiu.com/S/SZ300567,2026-08-24,2026-08-07
300570.SZ,太辰光,通信设备,202.9,90.15,-4.28,95.91,89.9,3,152.64,389.96,12.89,https://xueqiu.com/S/SZ300570,2026-08-24,2026-08-20
300604.SZ,长川科技,半导体,271.1,95.53,1.7,98.73,99.83,71,111.27,1326.98,3.53,https://xueqiu.com/S/SZ300604,2026-08-24,2026-04-22
300684.SZ,中石科技,元器件,84.2,99.13,0.29,95.93,96.9,7,73.82,172.25,10.99,https://xueqiu.com/S/SZ300684,2026-08-24,2026-08-14
300716.SZ,*ST泉为,塑料,19.9,90.64,999.0,94.2,96.4,1,,31.84,4.54,https://xueqiu.com/S/SZ300716,2026-08-24,2026-08-24
300759.SZ,康龙化成,化学制药,44.86,99.75,-0.1,97.12,89.03,8,48.12,637.03,5.17,https://xueqiu.com/S/SZ300759,2026-08-24,2026-08-13
300843.SZ,胜蓝股份,元器件,132.31,98.45,-0.37,99.36,99.0,15,183.86,212.36,6.79,https://xueqiu.com/S/SZ300843,2026-08-24,2026-07-31
300857.SZ,协创数据,IT设备,240.8,87.02,-2.87,93.38,99.11,7,67.51,1172.36,2.97,https://xueqiu.com/S/SZ300857,2026-08-24,2026-08-14
300862.SZ,蓝盾光电,电器仪表,55.1,99.95,999.0,99.45,94.41,1,,83.46,21.98,https://xueqiu.com/S/SZ300862,2026-08-24,2026-08-24
300903.SZ,科翔股份,元器件,77.8,91.06,999.0,99.6,99.87,1,,273.37,5.66,https://xueqiu.com/S/SZ300903,2026-08-24,2026-08-24
300907.SZ,康平科技,电气设备,51.52,90.77,-1.03,97.98,90.55,2,115.91,49.46,4.1,https://xueqiu.com/S/SZ300907,2026-08-24,2026-08-21
300939.SZ,秋田微,元器件,61.72,94.58,3.0,98.0,93.19,6,117.68,74.06,2.97,https://xueqiu.com/S/SZ300939,2026-08-24,2026-08-17
300951.SZ,博硕科技,元器件,68.41,99.09,-0.02,98.37,94.36,20,161.1,103.57,3.59,https://xueqiu.com/S/SZ300951,2026-08-24,2026-07-24
300983.SZ,尤安设计,建筑工程,39.36,91.02,2.97,95.32,91.5,14,,60.15,0.8,https://xueqiu.com/S/SZ300983,2026-08-24,2026-08-05
300985.SZ,致远新能,汽车配件,38.11,95.66,-0.47,95.52,94.19,40,,71.08,2.4,https://xueqiu.com/S/SZ300985,2026-08-24,2026-06-24
301003.SZ,江苏博云,塑料,57.5,93.42,2.81,92.2,91.18,3,54.65,43.21,3.11,https://xueqiu.com/S/SZ301003,2026-08-24,2026-08-20
301008.SZ,宏昌科技,家用电器,38.07,98.98,-0.27,87.4,88.8,5,223.12,44.02,8.29,https://xueqiu.com/S/SZ301008,2026-08-24,2026-08-18
301045.SZ,天禄科技,元器件,64.05,95.4,1.42,96.33,96.83,15,192.89,44.65,3.87,https://xueqiu.com/S/SZ301045,2026-08-24,2026-07-31
301047.SZ,义翘神州,生物制药,110.33,99.64,-0.11,97.03,90.44,12,85.34,131.93,9.63,https://xueqiu.com/S/SZ301047,2026-08-24,2026-08-07
301072.SZ,中捷精工,汽车配件,41.82,95.64,0.3,98.06,89.16,5,,28.41,4.55,https://xueqiu.com/S/SZ301072,2026-08-24,2026-08-18
301080.SZ,百普赛斯,生物制药,92.63,99.91,-0.05,99.06,91.66,8,90.7,117.49,14.74,https://xueqiu.com/S/SZ301080,2026-08-24,2026-08-13
301122.SZ,采纳股份,医疗保健,39.0,99.24,0.15,88.53,89.38,3,431.46,29.5,8.73,https://xueqiu.com/S/SZ301122,2026-08-24,2026-08-20
301165.SZ,锐捷网络,通信设备,115.9,99.82,-0.05,98.24,96.58,33,137.54,1290.7,2.03,https://xueqiu.com/S/SZ301165,2026-08-24,2026-07-03
301218.SZ,华是科技,软件服务,45.15,94.62,7.61,94.22,93.46,2,,31.64,22.4,https://xueqiu.com/S/SZ301218,2026-08-24,2026-08-21
301234.SZ,五洲医疗,医疗保健,110.0,99.96,0.05,99.76,96.92,20,315.06,44.35,11.8,https://xueqiu.com/S/SZ301234,2026-08-24,2026-07-24
301273.SZ,瑞晨环保,机械基件,40.08,96.51,0.91,98.26,93.61,28,,30.85,2.52,https://xueqiu.com/S/SZ301273,2026-08-24,2026-07-13
301282.SZ,金禄电子,元器件,33.48,97.55,-0.41,96.59,91.63,6,75.39,59.12,12.15,https://xueqiu.com/S/SZ301282,2026-08-24,2026-08-17
